PR Number,Title,State,URL,Created At,Merged At
25827,[BP-1.20][FLINK-34194] Update CI to Ubuntu 22.04 (Jammy),closed,,2024-12-20T09:20:06Z,2025-01-03T13:21:43Z
25826,[FLINK-xx][table] Add more Calcite PruneEmptyRules,open,,2024-12-20T06:48:18Z,None
25825,[FLINK-36911][table] Add more Calcite Reduce Expression Rules,open,,2024-12-20T06:39:10Z,None
25824,[FLINK-36938] Provide hooks before and after the watermark processing,closed,,2024-12-20T03:57:54Z,2024-12-20T12:06:23Z
25823,[FLINK-xx][table] Remove RelBuilder,open,,2024-12-20T02:44:26Z,None
25822,[FLINK-36608][table-runtime] Support dynamic StreamGraph optimization for AdaptiveBroadcastJoinOperator,closed,,2024-12-19T13:39:16Z,2025-01-10T11:00:34Z
25821,[hotfix][tests] Use scala's instanceOf in DataTypeExtractorScalaTest,closed,,2024-12-19T09:26:00Z,2024-12-19T17:57:23Z
25820,[hotfix] [docs] Fix typo in Flink Overview,closed,,2024-12-19T08:29:57Z,2025-01-17T13:54:46Z
25819,[FLINK-36936][table] Introduce UpdatableTopNFunction in Rank with Async State API,open,,2024-12-19T08:29:31Z,None
25818,[FLINK-36935][state/forst] Implement fast link for ForStFileSystem,closed,,2024-12-19T08:07:37Z,2025-01-06T13:00:25Z
25817,[FLINK-36934][network] Enrich numSubpartitions to TierMasterAgent#addPartitionAndGetShuffleDescriptor,closed,,2024-12-19T07:28:17Z,2024-12-20T01:48:25Z
25816,[FLINK-36928][Runtime] Split the action of Epoch into two parts (trigger & final),closed,,2024-12-18T08:58:10Z,2024-12-19T09:51:44Z
25815,[FLINK-36926][table] Introduce window join operator with async state api,closed,,2024-12-18T06:55:27Z,2025-01-14T14:20:14Z
25814,[FLINK-36925][table] Introduce SemiAntiJoinOperator in Join with Async State API,open,,2024-12-18T05:53:42Z,None
25813,[FLINK-36227] Restore compatibility with Logback 1.2,closed,,2024-12-17T21:20:38Z,2025-01-08T22:54:19Z
25812,Flink 33117,closed,,2024-12-17T18:27:14Z,None
25811,[FLINK-36873][runtime] Adapting batch job progress recovery to Apache Celeborn.,closed,,2024-12-17T12:31:15Z,2024-12-19T06:13:33Z
25810,[FLINK-36919][table] Add missing dropTable/dropView methods to TableEnvironment,closed,,2024-12-17T11:12:37Z,2024-12-22T20:27:28Z
25809,[FLINK-28897] [TABLE-SQL] Backport fix for fail to use udf in added jar when enabling checkpoint to 1.19.2,closed,,2024-12-17T11:09:36Z,None
25808,Bump com.nimbusds:nimbus-jose-jwt from 4.41.1 to 9.37.2 in /flink-end-to-end-tests/flink-end-to-end-tests-sql,open,,2024-12-17T08:58:43Z,None
25807,[FLINK-36918][table] Introduce ProcTimeSortOperator in TemporalSort with Async State API,open,,2024-12-17T07:51:21Z,None
25806,[FLINK-36910][table] Add function call syntax support to time-related dynamic functions,closed,,2024-12-17T01:24:39Z,None
25805,[FLINK-36706] Refactor TypeInferenceExtractor for PTFs,closed,,2024-12-16T20:49:38Z,2024-12-19T08:28:41Z
25804,[FLINK-36070][flink-runtime-web] Modifying web UI to adapt to Incremental JobGraph Generation,closed,,2024-12-16T16:43:21Z,2025-01-07T11:31:16Z
25803,[BP-1.20][FLINK-35887][core] Fix NPE in TypeExtractor where getSuperclass from an interface returns null,closed,,2024-12-16T09:37:08Z,2024-12-16T14:23:27Z
25802,[FLINK-35904][test] Test harness for async state processing operators,closed,,2024-12-16T08:53:48Z,2024-12-18T07:19:25Z
25801,[BP-1.19][FLINK-35887][core] Fix NPE in TypeExtractor where getSuperclass from an interface returns null,closed,,2024-12-16T08:13:49Z,2024-12-16T14:23:48Z
25800,[hotfix][configuration] Remove the deprecated test class TaskManagerLoadBalanceModeTest.,closed,,2024-12-16T06:13:06Z,2025-02-10T03:36:17Z
25799,[FLINK-36904][BP-1.20] Fix document error on how to programmatically configure serialization,closed,,2024-12-16T05:27:18Z,None
25798,[FLINK-36069][runtime/rest] Extending job detail rest API to expose json stream graph,closed,,2024-12-15T13:24:37Z,2024-12-28T04:16:10Z
25797,[FLINK-34123][FLINK-35068][FLINK-35555] Introduce built-in serialization support for common collection types,closed,,2024-12-14T16:18:53Z,None
25796,[FLINK-34124] Disable Kryo by default,closed,,2024-12-14T14:43:08Z,None
