Count,10,10,10,9,0,0,9,6,9,0,8,0,9,7,6,0,0,10,10,0,0,9,1,1,0,0,10,8,0,0,7,0,0,8,6,2,7,8,4,8,7,9,10,6,0,0,0,0,2,0,5,4,8,2,0,0,1,4,1,1,6,8,10,5,8,6,2
ReACTs,R-03,R-05,R-06,R-08,R-09,R-10,R-11,R-12,R-14,R-16,R-17,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-29,R-30,R-31,R-32,R-33,R-34,R-36,R-38,R-41,R-42,R-46,R-48,R-52,R-53,R-57,R-58,R-60,R-61,R-62,R-63,R-64,R-65,R-66,R-67,R-69,R-70,R-71,R-72,R-73,R-74,R-77,R-78,R-81,R-82,R-84,R-85,R-86,R-89,R-91,R-92,R-93,R-95,R-98,R-99,R-100,R-102,R-103
