PR Number,Title,State,URL,Created At,Merged At
50234,"[SPARK-51468][SQL] Revert ""From json/xml should not change collations in the given schema""",closed,,2025-03-11T08:57:05Z,None
50233,[SPARK-51467][UI] Make tables of the environment page filterable,closed,,2025-03-11T08:40:40Z,None
50232,[SPARK-51466][SQL][HIVE] Eliminate Hive built-in UDFs initialization on Hive UDF evaluation,closed,,2025-03-11T03:44:00Z,None
50231,[SPARK-51318][TESTS] Remove `jar` files from Apache Spark repository and disable affected tests,open,,2025-03-10T21:17:57Z,None
50230,Compute checksum for shuffle,open,,2025-03-10T21:13:03Z,None
50229,[SPARK-51457][R][INFRA] Use R 4.4.3 in `windows` R GitHub Action job,closed,,2025-03-10T20:54:51Z,None
50228,[SPARK-51462][SQL] Support typed literals of the TIME data type,closed,,2025-03-10T20:22:00Z,None
50227,[MINOR][SQL][TESTS] Remove duplicated plan node check in DataFrameSetOperationsSuite,closed,,2025-03-10T12:00:00Z,None
50226,[SPARK-51453] [SQL] AssertTrue uses toPrettySQL instead of simpleString,closed,,2025-03-10T10:16:07Z,None
50225,[SPARK-51452][UI] Improve Thread dump table search,closed,,2025-03-10T10:04:54Z,None
50224,[SPARK-51454][SQL] Support cast from time to string,closed,,2025-03-10T09:27:16Z,None
50223,[SPARK-51450][CORE] BarrierCoordinator thread not exiting in Spark standalone mode,closed,,2025-03-10T05:34:10Z,None
50222,[SPARK-51449][BUILD] Restore hive-llap-common to compile scope,closed,,2025-03-10T05:06:48Z,None
50221,[SPARK-51446][SQL] Improve the codecNameMap for the compression codec,closed,,2025-03-09T14:22:01Z,None
50220,[SPARK-51447][SQL] Add `stringToTime` and `stringToTimeAnsi`,closed,,2025-03-09T11:12:36Z,None
50219,[SPARK-51445][SQL][SS][CONNECT] Change the never changed `var` to `val`,closed,,2025-03-09T08:58:17Z,None
50218,[SPARK-51444][CORE] Remove the unreachable `if` branch from `TaskSchedulerImpl#statusUpdate`,closed,,2025-03-09T05:55:57Z,None
50217,[SPARK-51443][SS] Fix singleVariantColumn in DSv2 and readStream.,closed,,2025-03-08T19:38:21Z,None
50216,Change host to ip,open,,2025-03-08T18:51:03Z,None
50215,[SPARK-51359][CORE][SQL] Set INT64 as the default timestamp type for Parquet files,open,,2025-03-08T14:12:56Z,None
50214,[SPARK-51440][SS] classify the NPE when null topic field value is in kafka message data and there is no topic option,closed,,2025-03-07T21:09:19Z,None
50213,[WIP][SPARK-51348][BUILD][SQL] Upgrade Hive to 4.0,open,,2025-03-07T16:35:30Z,None
50212,[SPARK-51438][SQL] Make CatalystDataToProtobuf and ProtobufDataToCatalyst properly comparable and hashable,closed,,2025-03-07T15:16:49Z,None
50211,[SPARK-51437][CORE] Let timeoutCheckingTask could response thread interrupt,closed,,2025-03-07T13:22:55Z,None
50210,[MINOR][CORE] Remove redundant synchronized in ThreadUtils,closed,,2025-03-07T12:40:34Z,None
50209,[SPARK-51436][CORE][SQL][K8s][SS] Fix bug that cancel Future specified mayInterruptIfRunning with true,open,,2025-03-07T11:05:56Z,None
50208,[MINOR][SQL] Slightly refactor and optimize illegaility check in Recursive CTE Subqueries,closed,,2025-03-07T10:50:54Z,None
50207,[MINOR][SQL] Improve readability of JDBC truncate table condition check,closed,,2025-03-07T10:15:35Z,None
50206,[SPARK-51365][SQL][TESTS] Add Envs to control the number of `SHUFFLE_EXCHANGE/RESULT_QUERY_STAGE` threads used in test cases related to `SharedSparkSession/TestHive`,closed,,2025-03-07T08:50:48Z,None
50205,fix: handle compare_vals turn into str when parse IgnoreColumnType,open,,2025-03-07T08:33:30Z,None
50204,session extension comments enhancement,open,,2025-03-07T07:11:48Z,None
50203,[SPARK-51433][PYTHON][CONNECT] Change release script to release pyspark-client,closed,,2025-03-07T06:16:55Z,None
50202,log executing SQL text,open,,2025-03-07T04:46:25Z,None
50201,[SPARK-51432][SQL][PYTHON] Throw a proper exception when Arrow schemas are mismatched,closed,,2025-03-07T03:20:29Z,None
50200,"Revert ""[SPARK-51396][SQL] RuntimeConfig.getOption shouldn't use exceptions for control flow""",closed,,2025-03-07T02:30:16Z,None
50199,[SPARK-51473][ML][CONNECT] ML transformed dataframe keep a reference to the model,open,,2025-03-07T01:13:04Z,None
50198,[SPARK-51430][PYTHON] Stop PySpark context logger from propagating logs to stdout,open,,2025-03-07T01:05:13Z,None
50197,[WIP][SPARK-51395][SQL] Refine handling of default values in procedures,open,,2025-03-06T22:55:00Z,None
50196,[MINOR][DOCS] Fix small grammatical nit,closed,,2025-03-06T21:06:57Z,None
50195,[SPARK-51097][SS] Re-introduce RocksDB state store's last uploaded snapshot version instance metrics,closed,,2025-03-06T21:00:30Z,None
50194,[SPARK-51402][SQL][TESTS] Test TimeType in UDF,closed,,2025-03-06T19:51:27Z,None
50193,"[SPARK-51429][Connect] Add ""Acknowledgement"" message to ExecutePlanResponse",closed,,2025-03-06T19:19:19Z,None
50192,[SPARK-51428][SQL] Reassign Aliases for collated expression trees deterministically,open,,2025-03-06T17:07:01Z,None
50191,[SPARK-51425][Connect] Add client API to set custom `operation_id`,closed,,2025-03-06T16:29:56Z,None
50190,[SPARK-51442][SQL] Add time formatters,closed,,2025-03-06T16:24:12Z,None
50189,[SPARK-51424][BUILD] Upgrade ORC to 2.1.1,closed,,2025-03-06T15:17:52Z,None
50188,[MINOR][DOCS] Update foreachbatch docs,open,,2025-03-06T15:01:49Z,None
50187,[SPARK-51338][INFRA] Add automated CI build for `connect-examples`,open,,2025-03-06T14:57:43Z,None
50186,[MINOR][DOCS] IP -> HOST,open,,2025-03-06T12:42:29Z,None
50185,[MINOR][DOCS] Remove u prefix for py str,open,,2025-03-06T12:07:12Z,None
50184,[SPARK-51422][ML][PYTHON] Eliminate the JVM-Python data exchange in CrossValidator ,closed,,2025-03-06T11:25:51Z,None
50183,[SPARK-48311][SQL] Fix nested pythonUDF in groupBy and aggregate in Binding Exception ,open,,2025-03-06T10:01:09Z,None
50182,[SPARK-51418][SQL] Fix DataSource PARTITON TABLE w/ Hive type incompatible partition columns,closed,,2025-03-06T09:11:53Z,None
50181,[SPARK-51417][CONNECT] Give a second to wait for Spark Connect server to fully start,closed,,2025-03-06T08:27:58Z,None
50180,[SPARK-51416][CONNECT] Remove SPARK_CONNECT_MODE when starting Spark Connect server,closed,,2025-03-06T08:11:25Z,None
50179,[SPARK-51281][SQL][3.5] DataFrameWriterV2 should respect the path option,closed,,2025-03-06T06:34:59Z,None
