PR Number,Title,State,URL,Created At,Merged At
23998,[fix][test] Fix flaky test MetadataStoreTest.emptyStoreTest,closed,,2025-02-17T18:29:41Z,2025-02-18T06:22:07Z
23997,[improve][pip] PIP-408 add maxRetryRequestTimes in ClientConfigurationData and remove duplicate retry logic,open,,2025-02-17T15:20:33Z,None
23996,[improve][meta] Simplify getting parent path in ZKMetadataStore without using java.io.File,closed,,2025-02-17T12:18:26Z,2025-02-18T07:11:26Z
23995,[improve][meta] Stop election operations when LeaderElectionImpl gets closed,open,,2025-02-17T12:14:13Z,None
23994,"[revert] ""[improve][ml] Do not switch thread to execute asyncAddEntry's core logic (#23940)""",closed,,2025-02-17T11:19:25Z,2025-02-17T15:48:48Z
23992,[fix][build] Add develops for buildtools,closed,,2025-02-17T04:54:24Z,2025-02-17T06:46:45Z
23989,[fix][client] add maxRetryRequestTimes in ClientConfigurationData and remove Duplicate retry logic,open,,2025-02-15T14:45:50Z,None
23988,[fix][meta] Fix ephemeral handling of ZK nodes and fix MockZooKeeper ephemeral and ZK stat handling,closed,,2025-02-14T15:40:03Z,2025-02-17T16:54:43Z
23986,[fix][test] fix flaky testNegativeAcksWithBackoff when batch enabled.,closed,,2025-02-14T09:31:41Z,2025-02-14T11:18:07Z
23985,[fix] fix for code scanning alert no. 48: Uncontrolled data used in path expression,closed,,2025-02-14T02:54:23Z,2025-02-14T16:54:59Z
23984,[fix][meta] Fix ephemeral Zookeeper put which creates a persistent znode,closed,,2025-02-13T21:20:10Z,2025-02-14T10:52:13Z
23983,[improve][broker] Don't call ManagedLedger#asyncAddEntry in Netty I/O thread,open,,2025-02-13T12:21:51Z,None
23981,[improve][proxy] Make keep-alive interval configurable in Pulsar Proxy,closed,,2025-02-13T11:02:37Z,2025-02-14T06:56:41Z
23980,[fix][broker] Consumer stuck when delete subscription __compaction failed,open,,2025-02-13T09:29:59Z,None
23979,[fix][io] Fix pulsar-io:pom not found,closed,,2025-02-13T09:02:08Z,2025-02-13T17:50:53Z
23978,[improve][cli] Support additional msg metadata for V1 topic on peek message cmd,closed,,2025-02-13T08:01:50Z,2025-02-25T06:52:08Z
23977,[fix][broker] pattern regex error in PulsarLedgerManager cause zk data notification can not execute,open,,2025-02-13T07:13:53Z,None
23976,[fix] Potential fix for code scanning alert no. 22: HTTP response splitting,closed,,2025-02-13T05:20:30Z,2025-02-13T15:56:13Z
23975,[fix][broker] Add expire check for replicator,closed,,2025-02-13T04:33:19Z,2025-02-28T15:20:03Z
23974,[improve][broker] Support showing client ip address in client stats while using reverse proxy,closed,,2025-02-12T23:01:34Z,2025-03-05T06:37:12Z
23973,[fix] Bump org.eclipse.jetty:jetty-server from 10.0.22 to 10.0.24 in /pulsar-io/solr,closed,,2025-02-12T22:39:35Z,2025-02-13T01:04:27Z
23971,[fix][client] Fix memory leak in ClientCnx.newLookup when there's TooManyRequestsException,closed,,2025-02-12T16:25:28Z,2025-02-12T23:29:54Z
23970,"[improve][ci] Skip ""OWASP dependency check"" when data wasn't found in cache",closed,,2025-02-12T14:31:03Z,2025-02-12T19:57:08Z
23969,[improve][client] Update TypedMessageBuilder deliverAfter and deliverAt api comment,closed,,2025-02-12T13:13:15Z,2025-02-13T05:29:58Z
23967,[fix][client] Fix memory leak when message size exceeds max message size and batching is enabled,closed,,2025-02-12T11:35:12Z,2025-02-12T23:33:55Z
23966,[fix][build] Upgrade json-smart to 2.5.2,closed,,2025-02-12T09:53:45Z,2025-02-12T15:06:21Z
23965,[fix][sec] Upgrade to Netty 4.1.118,closed,,2025-02-11T18:24:07Z,2025-02-11T20:37:09Z
23964,[fix] Use Alpine 3.21 in base image,closed,,2025-02-11T18:13:42Z,2025-02-11T20:57:27Z
