PR Number,Title,State,URL,Created At,Merged At
14907,Bump io.micrometer:micrometer-core from 1.13.6 to 1.14.1,closed,,2024-11-18T08:15:35Z,2024-11-22T12:32:05Z
14906,Bump tomcat.version from 8.5.100 to 10.1.33,closed,,2024-11-18T08:15:25Z,None
14905,correctly validate service-name-mapping parameter,closed,,2024-11-18T06:33:40Z,2024-11-20T09:21:14Z
14904,optimize generateMethodContent to avoid unnecessary StringBuilder cre…,closed,,2024-11-18T06:21:13Z,2024-11-20T09:21:41Z
14903,Support setting curator session timeout,closed,,2024-11-18T05:23:23Z,2024-11-20T09:20:48Z
14902,Update dubbo revision to 3.3.3-SNAPSHOT,closed,,2024-11-17T14:04:18Z,2024-11-20T09:20:13Z
14901,Fix http3 negotiation failed,closed,,2024-11-17T13:00:13Z,2024-11-20T09:17:30Z
14900,fix flaky tests under DubboAppenderTest,closed,,2024-11-17T02:23:10Z,2024-11-20T09:19:27Z
14899,[Dubbo]Fix: Collections.emptyList() is final,closed,,2024-11-15T14:13:51Z,2024-11-16T13:33:35Z
14898,[Dubbo]Fix #14895 Httputils Bug  Fix,closed,,2024-11-15T13:54:08Z,None
14896,Fix three flaky tests in TaskQueueTest.java,closed,,2024-11-14T17:40:10Z,2024-11-20T07:00:41Z
14892,Fix init order in AbstractPortUnificationServer,closed,,2024-11-13T07:38:50Z,2024-11-14T07:21:49Z
14888,[Dubbo]: Fix the bug that isDefault configuration is not useful  #12961,open,,2024-11-11T16:23:34Z,None
14887,Bump org.apache.groovy:groovy from 4.0.23 to 4.0.24,closed,,2024-11-11T08:53:03Z,2024-11-14T07:00:12Z
14886,Bump io.opentelemetry:opentelemetry-bom from 1.43.0 to 1.44.1,closed,,2024-11-11T08:52:13Z,2024-11-14T07:00:21Z
14884,Fix RegistryConfig override ApplicationConfig,closed,,2024-11-11T03:42:22Z,None
14877,[optimize] Replace dubbo-demo-native,closed,,2024-11-08T09:36:29Z,None
14875,optimize repeat registry,closed,,2024-11-08T02:20:01Z,2024-11-13T07:11:19Z
14874,fix judgment for registry configed in DefaultApplicationDeployer,open,,2024-11-07T14:30:53Z,None
14873,Fix annotation configuration processor dependency missing,closed,,2024-11-07T13:51:02Z,2024-11-08T14:26:41Z
14872,add 'micrometer-core' as transitive dependency,open,,2024-11-07T09:52:58Z,None
14871,[optimize]Refactor the dubbo-demo module,closed,,2024-11-07T07:32:36Z,2024-11-20T08:12:02Z
14869,Remove zookeeper dependency management,closed,,2024-11-06T13:18:27Z,2024-11-13T06:53:07Z
14866,Spring6 compatibility,closed,,2024-11-06T01:36:24Z,2024-11-13T06:52:33Z
14858,optimize dubbo-triple-demo,closed,,2024-11-04T10:40:35Z,2024-11-04T12:08:47Z
14857,Bump org.apache.maven.plugins:maven-failsafe-plugin from 3.5.1 to 3.5.2,closed,,2024-11-04T08:25:31Z,2024-11-07T09:20:20Z
14856,Bump byte-buddy_version from 1.15.7 to 1.15.10,closed,,2024-11-04T08:24:44Z,2024-11-06T12:37:20Z
14855,Bump org.apache.maven.plugins:maven-surefire-plugin from 3.5.1 to 3.5.2,closed,,2024-11-04T08:24:13Z,2024-11-06T12:37:54Z
14854,Bump org.apache.maven.plugins:maven-javadoc-plugin from 3.10.1 to 3.11.1,closed,,2024-11-04T08:24:03Z,2024-11-06T12:38:36Z
14853,Bump grpc.version from 1.68.0 to 1.68.1,closed,,2024-11-04T08:23:53Z,None
14852,Bump jackson_version from 2.18.0 to 2.18.1,closed,,2024-11-04T08:23:01Z,2024-11-06T13:25:23Z
14851,Update initial mapping apps of service discovery MappingListener,closed,,2024-11-03T15:28:18Z,2024-11-07T09:12:53Z
14850,Refactor project dir and remove pom module,closed,,2024-11-03T09:16:50Z,2024-11-21T14:11:11Z
14849,Add preferred protocol support for application service discovery,closed,,2024-11-03T07:34:42Z,2024-11-07T09:12:23Z
14847,Upgrade github action version,closed,,2024-11-01T14:53:58Z,2024-11-06T12:36:21Z
14845,WIP: Add DNS Mode as default peer resolver,open,,2024-11-01T08:42:09Z,None
14843,Support read parameter names from local variable table,closed,,2024-11-01T01:40:40Z,2024-11-01T02:27:26Z
14840,Check jaxrs 2 class,closed,,2024-10-29T07:54:00Z,2024-10-29T07:59:53Z
14839,Fix Radix Test case on jdk 8~17,closed,,2024-10-29T07:17:07Z,2024-10-29T07:31:51Z
14837,Fix input stream unable to being deserialized,closed,,2024-10-29T06:49:18Z,2024-10-29T06:49:29Z
14836,Check all the required classes in rest toolkit,closed,,2024-10-29T03:56:23Z,None
14834,Bump org.apache.maven.plugins:maven-dependency-plugin from 3.8.0 to 3.8.1,closed,,2024-10-28T07:32:31Z,2024-10-29T06:53:47Z
