PR Number,Title,State,URL,Created At,Merged At
9131,[Enhancement] Load balancing cache in POP consumption mode,open,,2025-01-14T14:37:53Z,None
9129,[ISSUE #9128] Fix NPE when gRPC client ack message immediately after changing proxy,closed,,2025-01-14T07:02:01Z,2025-01-14T08:01:28Z
9126,[ISSUE #9125]Fix: array out-of-bounds exceptions caused by messages not present,closed,,2025-01-11T14:05:48Z,None
9124,fix(comment): correct typos in ConsumeQueueExt class.,closed,,2025-01-11T10:12:37Z,2025-01-15T06:51:09Z
9122,[ISSUE #9121] Fix CRC32 Check Failing When Value is 0,closed,,2025-01-10T08:10:45Z,2025-01-11T02:27:46Z
9120,[ISSUE #9119] Invoke async should handle raw exception instead of CompletionException,closed,,2025-01-10T07:08:42Z,2025-01-17T03:44:32Z
9116,[ISSUE #9115] Optimize the broker's reverse notification for consumerId change,open,,2025-01-09T05:01:19Z,None
9114,[ISSUE #9111] Support export broker RocksDB Config to json file,closed,,2025-01-08T12:58:28Z,2025-01-14T02:29:40Z
9113,[ISSUE #9112] Speedup revive scan in Pop Consumption and support server side reset offset,closed,,2025-01-08T09:01:18Z,2025-01-08T15:00:22Z
9109,[ISSUE #9108] Refactor ColdDataCgCtrService#getColdDataFlowCtrInfo,closed,,2025-01-05T13:37:30Z,2025-01-08T09:14:59Z
9107,[ISSUE #9106] Fix revive backoff retry not effective in Pop Consumption based on rocksdb,closed,,2025-01-05T13:07:42Z,2025-01-06T02:03:34Z
9104,[ISSUE #9081] Remove redundant get,open,,2025-01-04T06:50:12Z,None
9103,[ISSUE #9102] Fix bazel-compile (ubuntu-latest) ci run failure,open,,2025-01-04T05:01:43Z,None
9101,[ISSUE #9105] Fix the issue of duplicate consumption in LMQ,closed,,2025-01-03T09:36:15Z,2025-01-06T02:51:59Z
9100,[ISSUE #9025] [RIP-73] Modify Pop Consumption rocksdb init config,closed,,2025-01-03T08:37:29Z,2025-01-03T11:39:35Z
9096,"[ISSUE #4570] fix: Docker usage may occur error in volume mapping params, simple fix",closed,,2025-01-02T08:49:37Z,2025-01-14T12:22:30Z
9095,[ISSUE #4570] Use docker to start RocketMq,closed,,2025-01-02T08:40:36Z,None
9094,[ISSUE #8895] Fix NPE when broker shutdown and optimize the log,closed,,2025-01-02T05:58:30Z,2025-01-14T06:50:57Z
9087,[ISSUE #9025] [RIP-73] Fix reset offset not effective in Pop Consumption,closed,,2024-12-30T07:28:26Z,2024-12-30T12:05:20Z
9086,[ISSUE #9080] Not hold final message store config in fetcher,closed,,2024-12-27T07:11:22Z,2024-12-30T07:21:26Z
9085,fix use bufferSize not msgSize in dledger recover,open,,2024-12-26T12:43:56Z,None
9079,[ISSUE #9080] Fix tranfer logic when get large messages from cache in tiered storage,closed,,2024-12-25T12:33:34Z,2024-12-26T06:49:00Z
9076,[ISSUE #9075] Avoid message type validate in message sync scenario,closed,,2024-12-23T08:46:26Z,2024-12-25T09:57:47Z
9073,[ISSUE 9072]Fix the permission check for retry topic to get topic route.,closed,,2024-12-20T06:29:52Z,2024-12-20T07:39:46Z
9071,[ISSUE #9069] Fix the IndexFile ConcurrentModificationException in tiered storage,closed,,2024-12-20T03:34:21Z,2024-12-25T09:02:06Z
9068,[ISSUE #9019] feat: make check expired message interval configurable to reduce the consuming thread block time,open,,2024-12-19T12:38:31Z,None
9067,"[ISSUE #8974] add feature switch of recalling, disable by default.",closed,,2024-12-19T10:57:36Z,2024-12-27T05:56:09Z
9062,[ISSUE #9064] Optimize transaction message callback check logic,closed,,2024-12-18T04:34:55Z,2025-01-08T09:25:05Z
9060,[ISSUE #9059] Support reset offset for lite pull consumer,open,,2024-12-17T11:54:59Z,None
9058,[ISSUE #9044]Supplemental checks that are missing from the UpdateSubGroup&UpdateSubGroupList  operation,open,,2024-12-16T14:35:16Z,None
9055,[ISSUE #9054]Optimize log print when client consume message in pop mode,closed,,2024-12-14T15:08:09Z,2024-12-15T02:34:09Z
9051,[ISSUE #9050] Fix repeat response code,open,,2024-12-12T07:57:43Z,None
9049,[ISSUE #9047] reduce some methods cognitive complexity and optimize code format to meet sonar lint requirements.,closed,,2024-12-12T07:41:05Z,None
9048,[ISSUE #9025] [RIP-73] Pop Consumption Improvement Based on RocksDB,closed,,2024-12-12T06:35:49Z,2024-12-20T12:37:25Z
9043,[ISSUE #9039]Improve Code Readability for Name Server Address Management,open,,2024-12-10T09:10:22Z,None
9041,[ISSUE #9042] Update createTimerMessageStore call with new parameter,closed,,2024-12-09T11:45:53Z,2024-12-10T06:40:27Z
9040,[ISSUE #9039]Improve Code Readability for Name Server Address Management,closed,,2024-12-09T09:40:20Z,None
9037,reduce duplicate calls,closed,,2024-12-08T03:08:18Z,2024-12-09T06:32:37Z
9036,reduce duplicate calls,closed,,2024-12-07T15:51:28Z,None
9034,refactor(LmqBrokerStatsManager): Refactor Redundant Code in LmqBrokerStatsManager,closed,,2024-12-06T17:34:04Z,2024-12-07T09:59:46Z
9032,CreateFlushConsumeQueueService for loadAndStartConsumerServiceOnly,open,,2024-12-06T08:41:02Z,None
9027,[ISSUE #9028]Adjust some error code for SYSTEM_ERROR,closed,,2024-12-05T09:21:59Z,2024-12-14T02:08:55Z
9026,CreateFlushConsumeQueueService for loadAndStartConsumerServiceOnly,closed,,2024-12-05T07:54:45Z,None
9022,[ISSUE #9021] Correct the error message of acl command,closed,,2024-12-04T15:31:50Z,2024-12-10T06:41:07Z
9020,[ISSUE #9019] feat: make check expired message interval configurable to reduce the consuming thread block time,closed,,2024-12-04T03:59:42Z,None
9018,Bump org.springframework:spring-core from 5.3.27 to 6.1.14,open,,2024-12-02T21:34:32Z,None
9017,[ISSUE #9014] Fix clusterAclConfigVersion command execution failed,closed,,2024-12-02T10:56:46Z,2024-12-03T01:56:41Z
9016,[ISSUE #9015] Sync SysFlag and message body inflation status; allow omit of message body,closed,,2024-12-02T10:55:24Z,2024-12-05T07:06:35Z
9013,[ISSUE #9012]Optimize RemotingTimeoutException message to print,open,,2024-11-30T05:47:19Z,None
9010,[ISSUE #9009] Optimize message accumulation display and Metrics in DefaultPullConsumer,closed,,2024-11-29T08:16:31Z,2024-11-29T09:18:49Z
9008,[ISSUE #9007] Fix client connection local ip is null in RemotingClient,closed,,2024-11-29T08:00:51Z,2024-12-02T07:13:05Z
9003,"[ISSUE #9002]when bytebuffer is not enough, do not throw exception",closed,,2024-11-29T01:44:53Z,2024-12-19T03:44:32Z
8999,[ISSUE #8998] No retry is required when the remaining time reaches zero,closed,,2024-11-28T09:24:23Z,2025-01-06T02:23:48Z
8996,[ISSUE #8995] Fix pull consumers can't be found when querying consumers,closed,,2024-11-28T06:45:42Z,None
8994,"    feat[consumer]: support custom thread pool, providing the possibility for different consumers to reuse thread pools",open,,2024-11-28T05:20:26Z,None
8993,just a little bit cleanup.,open,,2024-11-27T10:57:47Z,None
8992,[ISSUE #8991] prepareHeartbeatData should not be set by default subscriptionDataSet data,closed,,2024-11-27T09:06:51Z,2024-11-28T02:31:23Z
8989,[ISSUE #8988] Support dispatchBehindMilliseconds,closed,,2024-11-26T08:56:07Z,2024-12-10T12:05:44Z
8986,[ISSUE #8984] Fix the broker switch enableMixedMessageType doesn't work,closed,,2024-11-26T03:22:37Z,2024-12-02T02:01:51Z
8985,[ISSUE #8982] Dynamically install latest Go version for e2e pipeline,closed,,2024-11-26T00:49:53Z,2024-11-26T03:37:46Z
8983,[ISSEU #6426] Fix slave broker SubscriptionGroupConfig and MessageRequestMode updating atomically,closed,,2024-11-25T12:17:07Z,2025-01-13T06:45:20Z
8981,[ISSUE #8460] Set default broker name when revive found ack without broker name field,closed,,2024-11-25T09:33:47Z,2024-11-25T11:24:43Z
8980,[ISSUE #8979] Add configurable switch for timer message retry logic ,closed,,2024-11-25T06:32:30Z,2024-12-05T09:49:04Z
8977,[ISSUE #8976] Modify file segment construct method,closed,,2024-11-23T07:19:16Z,2024-11-26T06:16:38Z
8975,[ISSUE #8974] Support recalling of delay message,closed,,2024-11-22T06:26:54Z,2024-12-09T08:56:12Z
8973,[ISSUE #8972] Adding the EnableLmqStats option allows monitoring of LMQ statistics at runtime,closed,,2024-11-22T02:40:51Z,2024-11-22T04:57:38Z
8971,[ISSUE #8970] Remove redundant heartbeats,closed,,2024-11-21T11:25:54Z,2024-12-10T06:54:43Z
8969,[ISSUE #8968] Introduce the clearRetryTopicWhenDeleteTopic option to enable precise external deletion of topics,closed,,2024-11-21T08:56:44Z,2024-11-27T08:19:06Z
8967,[ISSUE #8966] Feat: add remote address information to acl perm error,closed,,2024-11-21T08:08:50Z,2024-12-02T02:04:17Z
8965,[ISSUE #8955] Fix message buffer not release and dispatch thread exit in tiered storage,closed,,2024-11-21T07:12:59Z,2024-11-22T03:02:50Z
8964,[ISSUE #8963] Fix code36 request sent to ns,closed,,2024-11-20T12:54:34Z,2024-11-27T06:43:45Z
8962,[ISSUE #8961] Automatic recognition of address scheme in Topic Route by host,closed,,2024-11-20T09:33:59Z,2024-11-22T07:34:37Z
8958,[ISSUE #8957] Remove excess traffic and fix cache inconsistencies,closed,,2024-11-20T05:16:06Z,2024-12-25T06:38:57Z
8956,fix: avoid memory overhead when there is large number of LMQ CQ,closed,,2024-11-20T03:27:31Z,2024-11-20T06:55:31Z
8954,[ISSUE #8953] Improve IO for asynchronous delivery processes,closed,,2024-11-19T06:07:05Z,2024-11-20T03:13:12Z
8951,[ISSUE #8950] Remove Redundant nullcheck of configPath,closed,,2024-11-18T08:16:41Z,2024-12-02T02:03:16Z
8949,[ISSUE #8947] Notify pop request before calculate consumer lag,closed,,2024-11-18T07:45:41Z,2024-11-20T06:57:35Z
8946,[#ISSUE 8945] Remove unnecessary operations from the critical section,closed,,2024-11-18T05:22:46Z,2024-11-18T08:46:35Z
8944,[#ISSUE 8927] DLedger support lmq,open,,2024-11-18T02:41:56Z,None
8943,[ISSUE #8942] Add incGroupAckNums and incGroupCkNums to LmqBrokerStatsManager,closed,,2024-11-16T10:42:23Z,2024-11-18T06:23:00Z
8941,[ISSUE #8940] Fix incorrect path for exportMetadataInRocksDBCommand,closed,,2024-11-16T10:09:21Z,2024-11-18T09:25:20Z
8939,[ISSUE #8829] Support for Persisting LMQ Consumer Offsets in Config V1 Using RocksDB,closed,,2024-11-16T09:14:59Z,2024-11-18T06:30:01Z
8936,[ISSUE #8935] Fix behind metrics unit error in timer message store,closed,,2024-11-15T08:44:21Z,2024-11-19T09:35:10Z
8934,[ISSUE #8933] feat: DefaultPullConsumer add balance switch.,closed,,2024-11-15T07:28:48Z,2024-11-20T06:58:30Z
8930,[ISSUE #8929] Proxy adds message body empty check when send in grpc protocol,closed,,2024-11-15T02:42:43Z,2024-11-21T08:40:49Z
8928,[ISSUE #8927] DLedger support LMQ,closed,,2024-11-15T01:51:27Z,None
8926,[ISSUE #8925]Fix the bug of update user for ACL 2.0,closed,,2024-11-14T11:51:02Z,2024-11-15T02:35:37Z
8923,[ISSUE #8912] Rebalancing logic shift in POP consumption mode,closed,,2024-11-14T08:47:21Z,None
8922,[ISSUE #8921] Add isWakeCommitWhenPutMessage  for AIO,closed,,2024-11-14T08:04:11Z,2024-11-14T11:42:25Z
8919,[ISSUE #8917]Topic route return none permission message queues for gRPC client ,closed,,2024-11-14T02:48:48Z,2024-11-14T11:24:19Z
8918,[ISSUE #8917]Topic route return none permission message queues for gRPC client,closed,,2024-11-14T02:38:20Z,None
8916,[ISSUE #8877] Refactor lock in ReceiptHandleGroup  to make the lock can be properly released when future can not be completed.,closed,,2024-11-13T12:45:47Z,2024-11-21T09:53:46Z
8915,fix: multiple patches during long running tests for LMQ over RocksDB,closed,,2024-11-13T11:38:48Z,2024-12-02T02:07:54Z
8910,[ISSUE #8909] Move nullcheck ahead,closed,,2024-11-12T10:04:55Z,2024-11-16T01:07:55Z
8907,[ISSUE #8906] Handle string toUpperCase outside the loop,closed,,2024-11-11T07:09:28Z,2024-11-12T11:29:22Z
8905,fixed typo of RocketMQ_Example.md,closed,,2024-11-09T12:32:26Z,2024-11-11T02:00:27Z
8902,[ISSUE #8901] Add more test coverage for RpcClientImpl,closed,,2024-11-07T14:22:14Z,2024-11-18T02:19:49Z
8897,[#8859] Fix duplicate mapped file in mutil commitlog store path mode.,open,,2024-11-06T13:19:40Z,None
8896,Override recoverOffsetTable for kvCq store,closed,,2024-11-06T11:21:43Z,None
8893,feat: make code compile in Java 9+,open,,2024-11-05T13:52:53Z,None
8891,[ISSUE #8829] Keep data version while reload and XXXConfigManagerV2 turns off sync,closed,,2024-11-05T09:40:03Z,2024-11-06T02:12:25Z
8890,[ISSUE #8889] handle namespace outside the loop,closed,,2024-11-05T08:47:44Z,2024-11-08T01:03:10Z
8886,[ISSUE #8885] Resolve the issue of inaccurate CK number statistics,closed,,2024-11-01T09:45:22Z,2024-11-06T02:15:43Z
8884,1,closed,,2024-11-01T09:26:16Z,None
8883,[ISSUE #8882]Change the compare method for acl signature to improve the security.,closed,,2024-11-01T09:20:05Z,2024-11-07T11:04:55Z
8880,"[ISSUE #8879] reduce seach key times in method,to import performance",open,,2024-10-30T16:49:56Z,None
8876,[ISSUE #8875] Fix HAConnection leak,closed,,2024-10-30T03:10:26Z,2024-10-30T08:42:30Z
8874,"Revert ""fix RequestCode overflowed issues:8868 (#8871)""",closed,,2024-10-30T02:34:36Z,2024-10-30T06:20:00Z
8873,[ISSUE #8892] Add test cases to config manager v2,closed,,2024-10-29T11:00:38Z,2024-10-29T12:07:49Z
8872,update LanguageCode,closed,,2024-10-29T10:01:39Z,2024-10-29T11:07:14Z
8871,fix RequestCode overflowed issues:8868,closed,,2024-10-29T08:45:54Z,2024-10-29T11:44:20Z
8862,[ISSUE #8599] Throw exception when receiving GO_AWAY twice to close channel.,closed,,2024-10-25T08:00:09Z,2024-11-14T06:07:21Z
8857,[ISSUE #8829]feat: add test case to RocksDBConsumeQueueOffsetTable,closed,,2024-10-23T05:35:44Z,2024-10-23T11:17:05Z
8856,[ISSUE #8829] feat: provide ConfigManagerV2 to make best uses of RocksDB,closed,,2024-10-23T03:16:11Z,2024-10-28T02:00:34Z
8855,[ISSUE #8854]refactor(proxy): refactor proxy server with spi,open,,2024-10-22T17:29:40Z,None
8853,[ISSUE #8852] Add more test coverage for ClientMetadata,closed,,2024-10-22T12:20:32Z,2024-10-28T08:32:58Z
8851,[ISSUE #8850] Use correct log method,closed,,2024-10-22T11:28:24Z,2024-10-23T01:57:35Z
8849,[ISSUE #8848] Fix log typo,closed,,2024-10-22T11:14:31Z,2024-10-23T00:29:35Z
8847,fix: registerProducer should not be affected by concurrent scanNotAct…,closed,,2024-10-21T03:58:08Z,2024-10-23T01:37:17Z
8844,[ISSUE #8843] Optimize the Rebalance algorithm in POP consumption mode,closed,,2024-10-21T02:01:36Z,None
8842,Support LMQ dispatch in case if Consume Queue Store is RocksDB-based,closed,,2024-10-18T11:08:31Z,2024-10-23T01:56:37Z
8841,fix: make ConsumeQueueStore bottom most compression type configurable,closed,,2024-10-18T06:53:34Z,2024-10-18T08:50:14Z
8840,fix: remove unnecessary synchronized to improve concurrency,closed,,2024-10-18T03:25:48Z,2024-10-21T01:25:55Z
8838,[ISSUE #8837] Remove netty codec threads for better performance,closed,,2024-10-17T09:42:06Z,None
8836,"[ISSUE #8835]When ck is in the buffer, incomplete ack will lead to message duplication.",closed,,2024-10-17T08:29:47Z,2024-10-17T11:16:15Z
8834,[ISSUE #8833] Update netty-all version to 4.1.114 to fix CVE-2023-34462,closed,,2024-10-17T07:24:36Z,2024-10-21T05:37:43Z
8832,[ISSUE #8833] Update netty version to 4.1.114 to fix CVE-2023-34462,closed,,2024-10-17T07:14:46Z,2024-10-21T05:40:49Z
8830,fix: atomic flush incorrect use and clean up code,closed,,2024-10-17T02:20:16Z,2024-10-18T06:30:38Z
8825,[ISSUE #8824] Fix IllegalStateException caused by logical errors,closed,,2024-10-15T14:28:21Z,2024-10-16T03:00:51Z
8823,"[ISSUE #8822] Double write cq, reduce unnecessary switches",closed,,2024-10-15T06:25:39Z,2024-10-29T11:09:35Z
8821,fix variables match annotation (@RocketMQResource),closed,,2024-10-14T11:08:17Z,2024-10-18T01:18:41Z
