PR Number,Title,State,URL,Created At,Merged At
20465,fix(bar): fix borderColor hides bar color with large data,closed,,2024-10-30T22:29:03Z,2024-11-14T08:58:44Z
20458,DataZoom refresh,open,,2024-10-29T05:27:18Z,None
20453,Add types export for nodeNext moduleResolution,open,,2024-10-25T03:05:21Z,None
20447,feat(custom): support disableTooltip for custom series,open,,2024-10-24T07:42:50Z,None
20436,fix(Axis): xAxis axisTick custom interval funciton work error with boundaryGap false,open,,2024-10-22T03:06:51Z,None
20435,fix(tooltip): fix potential NPE when setting option with `notMerge` strategy,closed,,2024-10-21T11:44:10Z,2024-10-23T07:20:59Z
20426,feat(autoRotate): implements autoRotate and build,closed,,2024-10-15T12:53:17Z,None
20407,chore(deps): bump cookie and socket.io in /test/runTest,closed,,2024-10-11T03:29:35Z,None
20402,feat(custom): support compoundPath in custom series renderItem,closed,,2024-10-10T08:06:18Z,2024-10-16T07:31:54Z
20399,feat(sunburst): add new emphasis focus strategy `'relative'` for highlighting ancestor and descendant nodes,closed,,2024-10-09T10:55:18Z,2024-10-10T03:39:15Z
20398,fix(tooltip): Tooltip textStyle lineHeight does not work in default ,closed,,2024-10-08T12:10:02Z,2024-10-30T10:48:42Z
20396,fix(theme): fix legend page text color in dark mode,closed,,2024-10-08T03:03:20Z,2024-10-08T08:27:29Z
20380,fix(sankey): avoid throwing errors when the `links` / `nodes` / `levels` option is undefined,closed,,2024-09-28T09:05:40Z,2024-09-29T02:39:54Z
20378,add tooltip for axis label,closed,,2024-09-27T05:54:50Z,None
20370,fix(polar): fix unexpected clipping in polar coordinate,closed,,2024-09-24T11:14:54Z,2024-09-26T02:12:08Z
20368,chore(deps-dev): bump rollup from 2.34.2 to 3.29.5,closed,,2024-09-24T07:51:16Z,None
20365,Next,closed,,2024-09-24T01:58:59Z,None
